Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,,47.38765995,-122.24000381780328,"[False, True, False]"
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,,47.6657081,-122.38280295082915,"[False, True, False]"
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"[False, True, False]"
Walla Walla Wine On Tour,1/29/2024,Marion Oliver McCaw Hall,Festivals & Special Events,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"[False, True, False]"
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"[False, True, False]"
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,,47.38765995,-122.24000381780328,"[False, True, False]"
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,,47.6565246,-122.31173279895636,"[False, True, False]"
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,,47.6565246,-122.31173279895636,"[False, True, False]"
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
JP Saxe,1/31/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"[False, True, False]"
The Daimonics,1/31/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
BabyTron,2/1/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,47.6615049,-122.332319,"[False, True, False]"
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,47.6251322,-122.51453295865404,"[False, True, False]"
Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard,,47.6657081,-122.38280295082915,"[False, True, False]"
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,,47.613954,-122.3196108,"[False, True, False]"
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,43.6576535,-72.2840663,"[False, True, False]"
Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,,47.5880461,-122.333928,"[False, True, False]"
Poolside,2/2/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,47.38765995,-122.24000381780328,"[False, True, False]"
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,,50.2622955,-5.0548053,
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,,43.6576535,-72.2840663,"[False, True, False]"
Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
Mau P,2/3/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,,-5.2464353,-78.9699948,
The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle,,47.5589937,-122.285421,"[False, True, False]"
Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard,,47.6683615,-122.39177949359151,"[False, True, False]"
Lil Skies,2/4/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Secular and Sacred,2/4/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,,47.5880461,-122.333928,"[False, True, False]"
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Kristin Hannah,2/6/2024,Benaroya Hall,Readings & Lectures,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Michael J. Gerhardt,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Night Lovell,2/6/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
Dimiter,2/7/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"[False, True, False]"
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,,47.5880461,-122.333928,"[False, True, False]"
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,47.6251322,-122.51453295865404,"[False, True, False]"
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,,47.6523876,-122.3538541520202,"[False, True, False]"
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,,47.613954,-122.3196108,"[False, True, False]"
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
Ijeoma Oluo: Be A Revolution,2/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Moontricks,2/9/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"[False, True, False]"
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,,38.5997628,-121.5253351,"[False, True, False]"
Roots and Wings,2/9/2024,Rendezvous JewelBox Theater,Theatre,Downtown,,47.6146245,-122.3462961,"[False, True, False]"
Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,,47.55148885,-122.32828666347223,"[False, True, False]"
The Love Show,2/9/2024 through 2/10/2024,The Royal Room,Theatre,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"[False, True, False]"
Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square,,47.5880461,-122.333928,"[False, True, False]"
Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
JVNA,2/10/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Linda From Work,2/10/2024,Barboza,Music,Capitol Hill / Central District,,-13.248885,-41.0275842,
The Brother Brothers,2/10/2024,Tractor Tavern,Music,Fremont / Ballard,,47.6657081,-122.38280295082915,"[False, True, False]"
The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,,47.6145597,-122.3285576,"[False, True, False]"
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"[False, True, False]"
Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South,,47.3049439,-122.52137750626918,"[False, True, False]"
Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Juanes,2/14/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,47.6615049,-122.332319,"[False, True, False]"
Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
Left on Tenth,2/16/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
Marlon Wayans,2/16/2024,The Moore Theatre,Theatre,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
Riley Mulherkar: Album Release Show,2/16/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Yeah!,2/16/2024,Nectar Lounge,Music,Fremont / Ballard,,47.6523876,-122.3538541520202,"[False, True, False]"
Big Business,2/17/2024,Tractor Tavern,Music,Fremont / Ballard,,47.6657081,-122.38280295082915,"[False, True, False]"
David Wax Museum,2/17/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,,47.6592234,-122.349792,"[False, True, False]"
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
lespecial,2/17/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,,47.38765995,-122.24000381780328,"[False, True, False]"
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,,47.6108495,-122.3323262,"[False, True, False]"
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,,47.61175385,-122.33156275066185,"[False, True, False]"
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
Dr. Joy Buolamwini,2/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
La Nef: Red Sky at Night,2/18/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Love Beyond Border,2/18/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,,47.6683615,-122.39177949359151,"[False, True, False]"
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
Black and Boujee,Now through 2/20/2024,Bainbridge Island Museum of Art,Museums,West,,47.6251322,-122.51453295865404,"[False, True, False]"
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,,47.6251322,-122.51453295865404,"[False, True, False]"
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Bailen,2/22/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"[False, True, False]"
Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,47.6615049,-122.332319,"[False, True, False]"
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown,,-5.2464353,-78.9699948,
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,,44.43358325,26.079138268508792,
Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Wreckno,2/23/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,,47.6565246,-122.31173279895636,"[False, True, False]"
The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,,47.61467195,-122.3217419,"[False, True, False]"
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard,,47.6523876,-122.3538541520202,"[False, True, False]"
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown,,42.2896932,-83.7207314,"[False, True, False]"
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"[False, True, False]"
Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,,47.6821341,-122.3398325,"[False, True, False]"
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,,47.618258,-122.20116,"[False, True, False]"
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District,,47.613954,-122.3196108,"[False, True, False]"
Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,47.6615049,-122.332319,"[False, True, False]"
Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West,,47.6251322,-122.51453295865404,"[False, True, False]"
Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard,,47.6523876,-122.3538541520202,"[False, True, False]"
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,,47.6205296,-122.35020712496446,"[False, True, False]"
Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown,,47.5979061,-122.3279607,"[False, True, False]"
JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown,,47.6090191,-122.32993774092222,"[False, True, False]"
MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard,,47.6523876,-122.3538541520202,"[False, True, False]"
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,,47.6012977,-122.30982515103054,"[False, True, False]"
